length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,nb_extCSS,ratio_extRedirection,ratio_extErrors,login_form,external_favicon,links_in_tags,ratio_intMedia,ratio_extMedia,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,status
37,19,0,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0,1,0.0,0.0,0,0,0,0,0,0.08108108108108109,0,0,0,0,0.0,0.0,4,4,3,3,3,11,6,5.75,7.0,4.5,0,0,0,0,0,0,0.4594594594594595,0.529411765,0.0,0.875,0.5,0,0,80.0,100.0,0.0,0,0,0.0,0,0,0,0,1,0
77,23,1,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06493506493506493,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.220779221,0.0,0,0,0,0,0,0.012987012987012988,0,0,0,0,0.012987012987012988,0.0,4,4,2,19,2,19,32,15.75,19.0,14.66666667,0,0,0,0,0,0,0.38961038961038963,0.966666667,0.0,0.0,0.0,0,0,100.0,80.0,20.0,0,0,100.0,0,0,0,1,0,1
126,50,1,0.031746031746031744,0.007936507936507936,0.0,0.007936507936507936,0.015873015873015872,0.023809523809523808,0.015873015873015872,0.0,0.0,0.03968253968253968,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0,0,0.150793651,0.0,0,0,0,1,0,0.023809523809523808,1,0,0,0,0.007936507936507936,0.0,12,2,2,3,2,13,17,8.25,8.4,8.142857142999999,0,0,0,0,0,0,0.031746031746031744,1.0,0.0,0.0,0.0,0,0,100.0,0.0,0.0,0,0,100.0,0,0,0,1,0,1
18,11,0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0,0,0,0,0,0.1111111111111111,0,0,0,0,0.05555555555555555,0.0,1,0,5,5,0,5,0,5.0,5.0,0.0,0,0,0,0,0,0,8.277777777777779,0.973154362,0.0,0.25,0.25,0,0,100.0,96.42857143,3.571428571,0,0,62.5,0,0,0,1,0,0
55,15,0,0.03636363636363636,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0,1,0.0,0.0,0,0,0,0,0,0.03636363636363636,0,0,0,0,0.01818181818181818,0.0,6,3,3,3,4,7,11,6.333333333,5.0,7.0,0,0,0,0,0,0,1.8545454545454545,0.470588235,0.0,0.537037037,0.018518519,1,0,76.47058824,0.0,100.0,0,0,0.0,0,0,0,0,1,0
32,24,0,0.09375,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0,1,0.0,0.0,0,0,0,0,0,0.09375,1,0,0,0,0.03125,0.0,4,3,3,3,0,7,0,4.5,4.5,0.0,0,0,0,0,0,0,0.3125,0.3,0.0,0.571428571,0.0,0,0,100.0,0.0,0.0,0,0,0.0,0,0,0,1,1,1
19,12,0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0,1,0.0,0.0,0,0,0,0,0,0.10526315789473684,0,0,0,0,0.05263157894736842,0.0,2,3,3,3,0,5,0,4.0,4.0,0.0,0,0,0,0,0,0,5.157894736842105,0.081632653,0.5263157894736842,0.0,0.0,0,1,0.0,0.0,100.0,0,0,100.0,0,0,0,0,1,0
81,27,1,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06172839506172839,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0,1,0.259259259,0.0,0,0,0,0,0,0.024691358024691357,0,0,0,0,0.012345679012345678,0.0,5,8,2,3,2,19,32,13.2,11.0,14.66666667,0,0,0,0,0,0,0.37037037037037035,0.966666667,0.0,0.0,0.0,0,0,100.0,80.0,20.0,0,0,100.0,0,0,0,1,0,1
42,34,0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0,0,0,0,0,0.047619047619047616,0,0,1,0,0.0,0.0,2,0,8,8,0,21,0,14.5,14.5,0.0,0,1,0,0,0,0,1.5,0.206349206,0.07142857142857142,0.38,0.0,0,1,0.0,0.0,100.0,0,0,27.27272727,0,0,0,1,1,0
104,10,0,0.009615384615384616,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057692307692307696,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.076923077,0.0,0,0,0,0,0,0.009615384615384616,0,0,0,0,0.0,0.0,14,0,2,6,2,6,10,5.571428571,6.0,5.538461538,1,0,0,0,0,0,1.3461538461538463,0.7785714290000001,0.009615384615384616,0.193548387,0.0,0,1,93.10344828,10.0,90.0,0,0,58.13953488,0,0,0,1,0,0
